,Latitude,Longitude,Area,15-29 years,30-64 years,65 years and over,No qualification,Level 1 certificate,Level 2 certificate,Level 3 certificate,Level 4 certificate,Level 5 diploma,Level 6 diploma,Bachelor degree and level 7 qualification,Post-graduate and honours degrees,Masters degree,Doctorate degree,Overseas secondary school qualification,Total people - religious affiliation,  Adventist,  Anglican,  Baptist,  Catholicism,"  Evangelical, Born Again and Fundamentalist",  Jehovah's Witnesses,  Latter-day Saints,  Methodist,  Pentecostal,"  Presbyterian, Congregational and Reformed","  Maori Religions, Beliefs and Philosophies",  Buddhism,  Hinduism,  Islam,  Judaism,  Spiritualism and New Age religions,  Sikhism,  Jedi,  Other religions,  No religion,European,Maori,Pacific Peoples,Asian,Middle Eastern/Latin American/African,Other ethnicity,Regular smoker,Ex-smoker,Never smoked regularly,No dependent children,One dependent child,Two dependent children,Three dependent children,Four or more dependent children,Total people - with at least one religious affiliation,No religion,Respondents,Year
42,-37.0126685,174.9065181,Orewa North,528.0,1509.0,1482.0,531.0,390.0,330.0,297.0,267.0,159.0,246.0,456.0,159.0,99.0,30.0,366.0,4098.0,6.0,483.0,123.0,420.0,36.0,12.0,21.0,75.0,90.0,270.0,6.0,30.0,60.0,30.0,6.0,9.0,9.0,6.0,15.0,1767.0,3435.0,186.0,84.0,549.0,48.0,42.0,174.0,900.0,2442.0,111.0,120.0,141.0,48.0,6.0,2079.0,1767.0,4101.0,2018
44,-37.0051376,174.921164,Hatfields Beach,294.0,741.0,228.0,183.0,144.0,147.0,138.0,129.0,72.0,66.0,141.0,57.0,33.0,12.0,78.0,1554.0,0.0,102.0,21.0,111.0,12.0,21.0,0.0,9.0,30.0,54.0,3.0,6.0,12.0,0.0,0.0,9.0,0.0,6.0,12.0,909.0,1449.0,180.0,39.0,54.0,6.0,15.0,123.0,327.0,804.0,45.0,42.0,72.0,30.0,6.0,534.0,909.0,1563.0,2018
46,-37.0195256,174.8680176,Orewa South,312.0,1014.0,1338.0,573.0,357.0,225.0,201.0,210.0,102.0,141.0,258.0,102.0,66.0,12.0,279.0,3048.0,3.0,426.0,99.0,327.0,24.0,27.0,27.0,51.0,42.0,159.0,3.0,30.0,48.0,0.0,0.0,9.0,6.0,6.0,15.0,1275.0,2715.0,183.0,84.0,270.0,12.0,21.0,183.0,801.0,1689.0,66.0,60.0,81.0,21.0,6.0,1587.0,1275.0,3033.0,2018
48,-36.9941806,174.900716,Orewa Central,363.0,1329.0,1251.0,579.0,360.0,228.0,198.0,216.0,114.0,144.0,321.0,120.0,69.0,15.0,201.0,3096.0,6.0,348.0,48.0,414.0,30.0,18.0,6.0,51.0,60.0,186.0,6.0,27.0,42.0,18.0,3.0,18.0,18.0,9.0,12.0,1281.0,2664.0,255.0,111.0,306.0,24.0,48.0,249.0,843.0,1668.0,60.0,69.0,66.0,15.0,6.0,1644.0,1281.0,3294.0,2018
50,-36.9766571,174.9063936,Millwater North,522.0,1803.0,387.0,231.0,225.0,243.0,288.0,174.0,132.0,171.0,501.0,213.0,129.0,18.0,279.0,3642.0,3.0,189.0,63.0,267.0,60.0,6.0,33.0,45.0,114.0,123.0,3.0,51.0,48.0,18.0,9.0,3.0,3.0,9.0,12.0,1923.0,2628.0,189.0,42.0,954.0,51.0,39.0,129.0,492.0,2070.0,90.0,177.0,258.0,72.0,18.0,1530.0,1923.0,3651.0,2018
52,-36.8807143,175.0423717,Waipatukahu,258.0,705.0,141.0,165.0,138.0,144.0,117.0,105.0,57.0,69.0,132.0,69.0,24.0,6.0,33.0,1461.0,3.0,87.0,24.0,96.0,3.0,0.0,3.0,21.0,33.0,39.0,30.0,3.0,12.0,0.0,0.0,6.0,0.0,12.0,12.0,846.0,1317.0,243.0,51.0,30.0,6.0,21.0,111.0,324.0,696.0,30.0,66.0,66.0,24.0,9.0,501.0,846.0,1410.0,2018
54,-36.996,174.835,Millwater South,381.0,1137.0,171.0,147.0,120.0,123.0,138.0,84.0,75.0,87.0,366.0,120.0,96.0,12.0,216.0,2304.0,3.0,81.0,54.0,204.0,39.0,6.0,21.0,33.0,66.0,63.0,0.0,57.0,57.0,27.0,3.0,0.0,3.0,3.0,6.0,1149.0,1368.0,96.0,15.0,876.0,45.0,39.0,96.0,264.0,1284.0,54.0,111.0,183.0,48.0,9.0,1041.0,1149.0,2340.0,2018
56,-36.982801,174.8782162,Dairy Flat North,384.0,858.0,210.0,177.0,168.0,141.0,150.0,126.0,78.0,78.0,192.0,63.0,63.0,9.0,108.0,1788.0,0.0,108.0,42.0,114.0,18.0,9.0,12.0,33.0,48.0,60.0,3.0,18.0,12.0,6.0,0.0,9.0,0.0,15.0,12.0,1041.0,1443.0,123.0,21.0,297.0,6.0,21.0,162.0,324.0,981.0,78.0,63.0,51.0,33.0,6.0,648.0,1041.0,1770.0,2018
58,-36.9111443,174.8147813,Dairy Flat West,246.0,711.0,198.0,120.0,123.0,147.0,123.0,111.0,63.0,63.0,186.0,69.0,36.0,6.0,66.0,1422.0,0.0,105.0,12.0,81.0,6.0,3.0,3.0,15.0,33.0,54.0,0.0,9.0,0.0,6.0,3.0,9.0,0.0,9.0,6.0,882.0,1287.0,102.0,27.0,102.0,9.0,24.0,111.0,255.0,798.0,51.0,45.0,72.0,18.0,3.0,459.0,882.0,1410.0,2018
60,-36.8590171,175.1747254,Kingsway,438.0,1017.0,258.0,186.0,195.0,153.0,195.0,150.0,96.0,99.0,273.0,93.0,66.0,9.0,129.0,2187.0,6.0,111.0,99.0,177.0,54.0,18.0,6.0,51.0,57.0,54.0,0.0,24.0,27.0,6.0,0.0,12.0,3.0,15.0,3.0,969.0,1842.0,144.0,60.0,261.0,27.0,24.0,117.0,321.0,1269.0,66.0,111.0,114.0,39.0,9.0,1071.0,969.0,2196.0,2018
