,Latitude,Longitude,Area,15-29 years,30-64 years,65 years and over,No qualification,Level 1 certificate,Level 2 certificate,Level 3 certificate,Level 4 certificate,Level 5 diploma,Level 6 diploma,Bachelor degree and level 7 qualification,Post-graduate and honours degrees,Masters degree,Doctorate degree,Overseas secondary school qualification,Total people - religious affiliation,  Adventist,  Anglican,  Baptist,  Catholicism,"  Evangelical, Born Again and Fundamentalist",  Jehovah's Witnesses,  Latter-day Saints,  Methodist,  Pentecostal,"  Presbyterian, Congregational and Reformed","  Maori Religions, Beliefs and Philosophies",  Buddhism,  Hinduism,  Islam,  Judaism,  Spiritualism and New Age religions,  Sikhism,  Jedi,  Other religions,  No religion,European,Maori,Pacific Peoples,Asian,Middle Eastern/Latin American/African,Other ethnicity,Regular smoker,Ex-smoker,Never smoked regularly,No dependent children,One dependent child,Two dependent children,Three dependent children,Four or more dependent children,Total people - with at least one religious affiliation,No religion,Respondents,Year
208,-36.9625516,174.901266599409,Totara Vale North,840.0,1524.0,252.0,306.0,177.0,144.0,255.0,150.0,111.0,96.0,585.0,171.0,96.0,24.0,336.0,3174.0,15.0,75.0,27.0,459.0,69.0,15.0,15.0,48.0,84.0,144.0,3.0,66.0,177.0,75.0,0.0,9.0,39.0,12.0,24.0,1344.0,1281.0,189.0,153.0,1587.0,159.0,57.0,279.0,372.0,1950.0,126.0,144.0,129.0,36.0,6.0,1671.0,1344.0,3195.0,2018
210,-36.9430775,174.9032492,Royal Heights North,825.0,1554.0,378.0,453.0,303.0,282.0,324.0,204.0,126.0,129.0,390.0,96.0,69.0,12.0,186.0,3501.0,12.0,135.0,51.0,360.0,45.0,27.0,45.0,63.0,78.0,189.0,33.0,57.0,87.0,63.0,0.0,9.0,3.0,12.0,18.0,1566.0,2115.0,546.0,654.0,684.0,96.0,57.0,360.0,549.0,1866.0,102.0,141.0,117.0,30.0,21.0,1710.0,1566.0,3474.0,2018
212,-36.8800618,174.9915925,Massey West,366.0,648.0,114.0,180.0,78.0,87.0,123.0,78.0,57.0,57.0,177.0,36.0,48.0,3.0,96.0,1428.0,9.0,39.0,12.0,144.0,21.0,9.0,15.0,15.0,48.0,18.0,9.0,39.0,141.0,36.0,3.0,3.0,15.0,6.0,6.0,615.0,594.0,213.0,207.0,576.0,27.0,12.0,186.0,159.0,777.0,36.0,51.0,48.0,12.0,9.0,744.0,615.0,1428.0,2018
214,-36.97855635,174.848234500829,Beach Haven West,645.0,1674.0,372.0,297.0,225.0,270.0,309.0,216.0,123.0,114.0,498.0,192.0,123.0,12.0,162.0,3417.0,6.0,177.0,27.0,363.0,30.0,9.0,24.0,45.0,81.0,81.0,30.0,39.0,48.0,33.0,6.0,24.0,6.0,24.0,27.0,1887.0,2697.0,438.0,270.0,435.0,90.0,39.0,327.0,660.0,1680.0,78.0,129.0,165.0,45.0,15.0,1335.0,1887.0,3435.0,2018
216,-36.9080825,174.9516267,Totara Vale South,984.0,1890.0,342.0,303.0,201.0,189.0,339.0,219.0,186.0,132.0,669.0,180.0,141.0,24.0,396.0,3867.0,12.0,108.0,33.0,573.0,60.0,27.0,33.0,30.0,57.0,126.0,9.0,123.0,222.0,66.0,3.0,12.0,48.0,27.0,27.0,1605.0,1605.0,288.0,189.0,1905.0,168.0,51.0,366.0,549.0,2283.0,117.0,189.0,135.0,36.0,0.0,2085.0,1605.0,3888.0,2018
218,-36.9709275,174.836022735045,Swanson,504.0,1065.0,177.0,243.0,162.0,159.0,195.0,147.0,69.0,66.0,276.0,108.0,57.0,9.0,114.0,2241.0,12.0,81.0,30.0,258.0,9.0,18.0,18.0,24.0,33.0,42.0,24.0,60.0,93.0,36.0,0.0,12.0,36.0,6.0,9.0,1131.0,1407.0,339.0,252.0,561.0,27.0,21.0,219.0,354.0,1161.0,51.0,108.0,84.0,36.0,6.0,984.0,1131.0,2250.0,2018
220,-36.8572296,174.7808449,Bayview South,768.0,1506.0,222.0,225.0,168.0,162.0,261.0,177.0,126.0,108.0,525.0,156.0,120.0,24.0,291.0,3063.0,9.0,90.0,33.0,417.0,36.0,15.0,30.0,39.0,51.0,93.0,6.0,57.0,165.0,36.0,3.0,9.0,33.0,12.0,21.0,1419.0,1575.0,210.0,141.0,1248.0,108.0,30.0,231.0,402.0,1857.0,87.0,159.0,141.0,15.0,6.0,1485.0,1419.0,3069.0,2018
222,-36.9653466,174.8223043,Campbells Bay,522.0,1380.0,456.0,159.0,195.0,195.0,243.0,96.0,96.0,153.0,522.0,246.0,159.0,54.0,135.0,2889.0,0.0,240.0,36.0,285.0,21.0,0.0,9.0,30.0,27.0,123.0,0.0,18.0,21.0,33.0,12.0,9.0,6.0,6.0,21.0,1635.0,2325.0,120.0,18.0,525.0,60.0,24.0,84.0,390.0,1863.0,117.0,117.0,165.0,54.0,6.0,1101.0,1635.0,2907.0,2018
224,-36.93445205,174.916885165777,Royal Heights South,885.0,1587.0,369.0,486.0,297.0,243.0,330.0,207.0,129.0,108.0,381.0,111.0,63.0,18.0,225.0,3777.0,24.0,141.0,42.0,420.0,48.0,42.0,72.0,78.0,111.0,237.0,48.0,42.0,90.0,153.0,3.0,9.0,12.0,21.0,24.0,1566.0,1824.0,726.0,930.0,861.0,141.0,36.0,393.0,540.0,1932.0,87.0,135.0,117.0,39.0,24.0,1971.0,1566.0,3747.0,2018
226,-36.7363026,174.691101505997,Beach Haven East,885.0,1806.0,300.0,474.0,273.0,267.0,372.0,249.0,153.0,108.0,426.0,135.0,87.0,6.0,213.0,3984.0,6.0,150.0,30.0,498.0,36.0,3.0,96.0,102.0,123.0,141.0,48.0,54.0,45.0,57.0,3.0,18.0,15.0,21.0,24.0,1935.0,2490.0,825.0,774.0,573.0,114.0,51.0,468.0,666.0,1878.0,93.0,165.0,156.0,69.0,21.0,1809.0,1935.0,3957.0,2018
228,-36.9397675,174.8675928,Massey East,900.0,1488.0,252.0,501.0,219.0,234.0,351.0,213.0,129.0,87.0,297.0,69.0,51.0,9.0,201.0,3540.0,27.0,93.0,33.0,429.0,54.0,12.0,63.0,105.0,111.0,171.0,54.0,51.0,222.0,171.0,0.0,9.0,21.0,15.0,15.0,1326.0,1425.0,693.0,1086.0,894.0,99.0,24.0,501.0,441.0,1743.0,72.0,105.0,90.0,48.0,18.0,2019.0,1326.0,3474.0,2018
230,-36.8340594,174.6031351,Forrest Hill North,546.0,1185.0,264.0,126.0,114.0,156.0,228.0,111.0,93.0,105.0,426.0,144.0,129.0,15.0,234.0,2490.0,6.0,105.0,24.0,261.0,15.0,6.0,9.0,18.0,45.0,114.0,6.0,51.0,81.0,48.0,6.0,9.0,3.0,6.0,21.0,1233.0,1227.0,105.0,36.0,1185.0,63.0,18.0,147.0,291.0,1548.0,84.0,102.0,129.0,33.0,9.0,1128.0,1233.0,2496.0,2018
232,-36.8425766,174.600335490972,Glenfield North,858.0,1575.0,303.0,300.0,141.0,180.0,276.0,135.0,138.0,105.0,606.0,141.0,126.0,18.0,348.0,3333.0,9.0,72.0,57.0,585.0,36.0,6.0,36.0,42.0,36.0,108.0,9.0,102.0,186.0,69.0,3.0,3.0,48.0,6.0,15.0,1431.0,1284.0,207.0,150.0,1809.0,105.0,57.0,264.0,399.0,2067.0,90.0,159.0,132.0,36.0,9.0,1716.0,1431.0,3345.0,2018
234,-36.7891861,175.0825819,Birkdale North,933.0,1947.0,405.0,444.0,291.0,288.0,375.0,234.0,126.0,126.0,627.0,195.0,111.0,21.0,261.0,4173.0,9.0,156.0,36.0,546.0,21.0,12.0,120.0,75.0,75.0,105.0,33.0,69.0,90.0,66.0,6.0,24.0,9.0,27.0,30.0,2052.0,2646.0,639.0,450.0,942.0,120.0,66.0,411.0,693.0,2154.0,93.0,180.0,180.0,51.0,21.0,1884.0,2052.0,4188.0,2018
236,-36.93377315,174.86405635,Massey South,1074.0,2031.0,327.0,591.0,372.0,315.0,384.0,303.0,165.0,129.0,441.0,123.0,75.0,6.0,243.0,4554.0,30.0,135.0,45.0,447.0,66.0,9.0,102.0,138.0,132.0,228.0,54.0,39.0,168.0,84.0,0.0,30.0,12.0,12.0,30.0,2049.0,2349.0,963.0,1116.0,951.0,84.0,63.0,567.0,684.0,2193.0,108.0,180.0,144.0,45.0,39.0,2202.0,2049.0,4527.0,2018
238,-36.9287092,174.896323,Ranui North,972.0,1644.0,336.0,678.0,294.0,264.0,381.0,231.0,123.0,90.0,258.0,60.0,57.0,21.0,219.0,4053.0,36.0,96.0,48.0,480.0,51.0,24.0,93.0,129.0,108.0,303.0,93.0,21.0,150.0,114.0,0.0,18.0,18.0,12.0,12.0,1557.0,1725.0,1032.0,1440.0,645.0,75.0,21.0,603.0,561.0,1797.0,114.0,126.0,120.0,42.0,39.0,2244.0,1557.0,4041.0,2018
240,-36.97541705,174.791304038415,Glenfield West,759.0,1416.0,474.0,342.0,198.0,150.0,237.0,156.0,135.0,117.0,540.0,135.0,123.0,18.0,270.0,3084.0,3.0,141.0,27.0,489.0,36.0,9.0,39.0,54.0,66.0,111.0,12.0,108.0,114.0,78.0,0.0,18.0,30.0,12.0,21.0,1308.0,1434.0,228.0,162.0,1404.0,126.0,36.0,243.0,486.0,1872.0,75.0,138.0,105.0,18.0,6.0,1605.0,1308.0,3135.0,2018
242,-37.0843949,174.6349556,Te Atatu Peninsula North West,588.0,1575.0,324.0,348.0,246.0,225.0,291.0,174.0,126.0,117.0,441.0,162.0,87.0,21.0,102.0,3282.0,12.0,141.0,27.0,351.0,27.0,0.0,15.0,36.0,84.0,126.0,78.0,21.0,39.0,36.0,0.0,21.0,9.0,15.0,15.0,1740.0,2271.0,696.0,507.0,423.0,72.0,45.0,333.0,540.0,1617.0,69.0,144.0,159.0,51.0,12.0,1338.0,1740.0,3273.0,2018
244,-36.9660718,174.7928733,Glenfield South West,996.0,1980.0,321.0,351.0,243.0,261.0,312.0,213.0,186.0,147.0,666.0,198.0,177.0,9.0,306.0,4032.0,6.0,123.0,24.0,567.0,30.0,27.0,30.0,42.0,66.0,120.0,12.0,111.0,144.0,84.0,3.0,15.0,27.0,18.0,30.0,2001.0,2034.0,330.0,276.0,1623.0,153.0,66.0,351.0,561.0,2352.0,120.0,186.0,174.0,45.0,6.0,1836.0,2001.0,4059.0,2018
246,-36.8939481,174.8831204,Forrest Hill West,1023.0,1752.0,585.0,309.0,210.0,213.0,372.0,150.0,141.0,159.0,696.0,255.0,180.0,18.0,423.0,4014.0,9.0,153.0,84.0,411.0,45.0,3.0,18.0,54.0,63.0,240.0,3.0,114.0,96.0,84.0,3.0,6.0,51.0,12.0,24.0,1920.0,1710.0,195.0,120.0,2076.0,126.0,36.0,198.0,489.0,2655.0,147.0,177.0,162.0,39.0,9.0,1905.0,1920.0,4035.0,2018
248,-37.00655125,174.790336330621,Forrest Hill East,771.0,1710.0,399.0,225.0,204.0,222.0,318.0,159.0,114.0,138.0,648.0,213.0,171.0,27.0,258.0,3516.0,0.0,162.0,48.0,366.0,27.0,3.0,24.0,39.0,42.0,153.0,3.0,84.0,84.0,48.0,6.0,6.0,21.0,15.0,27.0,1851.0,1971.0,156.0,96.0,1380.0,78.0,30.0,195.0,438.0,2202.0,117.0,180.0,180.0,39.0,3.0,1503.0,1851.0,3564.0,2018
250,-36.9134002,174.8408913,Castor Bay,789.0,2181.0,720.0,237.0,297.0,315.0,372.0,219.0,147.0,231.0,822.0,339.0,228.0,60.0,273.0,4509.0,6.0,369.0,66.0,498.0,12.0,6.0,9.0,45.0,45.0,222.0,0.0,60.0,21.0,48.0,15.0,21.0,9.0,21.0,30.0,2445.0,3435.0,177.0,54.0,969.0,93.0,36.0,156.0,651.0,2892.0,156.0,186.0,246.0,48.0,9.0,1830.0,2445.0,4512.0,2018
252,-36.9439039,174.7852413,Ranui Domain,780.0,1527.0,315.0,543.0,252.0,189.0,303.0,189.0,105.0,75.0,297.0,78.0,57.0,6.0,222.0,3537.0,24.0,117.0,66.0,483.0,39.0,12.0,87.0,102.0,111.0,168.0,78.0,42.0,252.0,138.0,0.0,9.0,36.0,12.0,24.0,1122.0,1275.0,825.0,993.0,963.0,117.0,39.0,549.0,450.0,1635.0,81.0,117.0,111.0,36.0,18.0,2199.0,1122.0,3525.0,2018
254,-36.5709944,174.6892499,Beach Haven South,546.0,1575.0,435.0,198.0,186.0,225.0,231.0,177.0,114.0,159.0,510.0,249.0,177.0,48.0,177.0,3165.0,3.0,189.0,27.0,318.0,15.0,3.0,15.0,27.0,33.0,81.0,6.0,45.0,48.0,39.0,6.0,24.0,15.0,21.0,18.0,1761.0,2586.0,279.0,141.0,438.0,54.0,24.0,177.0,579.0,1797.0,87.0,132.0,171.0,42.0,9.0,1233.0,1761.0,3171.0,2018
256,-36.741944,174.5153117,Glenfield Central,1059.0,1887.0,531.0,321.0,213.0,198.0,363.0,219.0,168.0,156.0,786.0,234.0,150.0,18.0,381.0,4101.0,15.0,189.0,42.0,717.0,60.0,6.0,18.0,27.0,90.0,153.0,0.0,87.0,255.0,105.0,0.0,12.0,21.0,12.0,21.0,1608.0,1782.0,228.0,111.0,2043.0,153.0,48.0,297.0,513.0,2649.0,123.0,183.0,156.0,24.0,6.0,2277.0,1608.0,4131.0,2018
258,-36.6799207,174.4505396,Piha,117.0,558.0,129.0,48.0,75.0,78.0,72.0,63.0,24.0,57.0,156.0,69.0,45.0,9.0,33.0,984.0,0.0,45.0,6.0,51.0,3.0,0.0,3.0,9.0,3.0,18.0,3.0,6.0,3.0,0.0,3.0,15.0,0.0,12.0,15.0,657.0,933.0,132.0,33.0,30.0,9.0,12.0,87.0,213.0,498.0,18.0,36.0,45.0,15.0,3.0,243.0,657.0,999.0,2018
260,-36.1994214,175.417286613805,Ranui South West,624.0,1149.0,183.0,324.0,204.0,192.0,222.0,171.0,75.0,57.0,237.0,78.0,60.0,3.0,171.0,2634.0,6.0,75.0,24.0,255.0,30.0,36.0,105.0,66.0,81.0,189.0,12.0,66.0,141.0,87.0,0.0,15.0,15.0,9.0,6.0,927.0,1194.0,510.0,597.0,687.0,66.0,33.0,282.0,345.0,1347.0,54.0,90.0,90.0,42.0,24.0,1563.0,927.0,2613.0,2018
262,-36.5937881,174.5098419,Henderson Larnoch,936.0,1833.0,393.0,696.0,288.0,231.0,342.0,240.0,141.0,78.0,396.0,84.0,63.0,6.0,240.0,4188.0,57.0,114.0,27.0,525.0,66.0,12.0,93.0,138.0,150.0,207.0,75.0,87.0,192.0,105.0,6.0,12.0,21.0,15.0,27.0,1494.0,1467.0,897.0,1197.0,1224.0,108.0,54.0,606.0,489.0,2055.0,96.0,162.0,132.0,42.0,24.0,2445.0,1494.0,4191.0,2018
264,-36.3930812,174.727582,Birkdale South,1026.0,2298.0,381.0,384.0,300.0,261.0,411.0,231.0,159.0,174.0,768.0,285.0,156.0,39.0,315.0,4725.0,24.0,195.0,51.0,651.0,30.0,24.0,39.0,93.0,63.0,111.0,15.0,48.0,135.0,108.0,6.0,24.0,18.0,24.0,42.0,2340.0,3159.0,531.0,417.0,1035.0,186.0,72.0,378.0,783.0,2541.0,84.0,225.0,225.0,63.0,15.0,2160.0,2340.0,4719.0,2018
266,-37.1406138,175.037806,Te Atatu Peninsula Central,558.0,1578.0,387.0,486.0,222.0,240.0,243.0,195.0,108.0,102.0,387.0,129.0,99.0,18.0,138.0,3351.0,33.0,156.0,15.0,390.0,42.0,39.0,24.0,48.0,57.0,144.0,42.0,24.0,75.0,30.0,0.0,12.0,3.0,15.0,18.0,1731.0,2160.0,738.0,624.0,483.0,42.0,30.0,369.0,597.0,1563.0,69.0,111.0,156.0,63.0,15.0,1434.0,1731.0,3333.0,2018
268,-37.227176,174.9247958,Glenfield East,573.0,1122.0,228.0,237.0,111.0,111.0,225.0,93.0,93.0,81.0,387.0,93.0,81.0,3.0,255.0,2322.0,9.0,60.0,18.0,429.0,36.0,0.0,12.0,27.0,54.0,84.0,15.0,81.0,120.0,45.0,3.0,3.0,27.0,9.0,21.0,912.0,777.0,165.0,99.0,1374.0,42.0,30.0,180.0,249.0,1476.0,81.0,129.0,78.0,24.0,6.0,1308.0,912.0,2337.0,2018
270,-36.9615124,174.8537693,Henderson Valley,267.0,726.0,174.0,129.0,129.0,126.0,120.0,123.0,63.0,66.0,177.0,57.0,33.0,12.0,63.0,1440.0,0.0,54.0,12.0,114.0,6.0,9.0,9.0,9.0,15.0,42.0,9.0,9.0,6.0,0.0,0.0,9.0,0.0,12.0,9.0,903.0,1281.0,192.0,72.0,87.0,9.0,15.0,132.0,294.0,732.0,39.0,72.0,66.0,15.0,6.0,438.0,903.0,1452.0,2018
272,-36.96850805,174.885501967217,Te Atatu Peninsula West,681.0,1800.0,345.0,378.0,252.0,288.0,291.0,243.0,117.0,144.0,477.0,174.0,120.0,21.0,135.0,3780.0,6.0,147.0,27.0,399.0,39.0,39.0,36.0,54.0,48.0,147.0,36.0,48.0,69.0,48.0,3.0,18.0,6.0,15.0,21.0,1935.0,2487.0,783.0,567.0,606.0,78.0,54.0,348.0,624.0,1860.0,87.0,150.0,195.0,63.0,12.0,1602.0,1935.0,3774.0,2018
274,-36.97286815,174.875818440028,Henderson Lincoln West,750.0,1401.0,303.0,429.0,237.0,192.0,243.0,165.0,108.0,81.0,345.0,78.0,72.0,15.0,237.0,3213.0,30.0,93.0,18.0,447.0,45.0,18.0,72.0,87.0,126.0,120.0,45.0,96.0,207.0,93.0,3.0,15.0,33.0,9.0,36.0,1137.0,1119.0,570.0,825.0,1161.0,99.0,39.0,423.0,369.0,1659.0,78.0,117.0,96.0,48.0,24.0,1899.0,1137.0,3213.0,2018
276,-36.632929,174.3785628,Ranui South East,660.0,1329.0,228.0,324.0,174.0,141.0,273.0,141.0,102.0,72.0,363.0,108.0,84.0,6.0,243.0,2925.0,15.0,42.0,12.0,405.0,54.0,18.0,54.0,75.0,87.0,81.0,30.0,63.0,297.0,138.0,0.0,6.0,60.0,12.0,15.0,1080.0,936.0,414.0,522.0,1335.0,99.0,39.0,288.0,297.0,1629.0,84.0,129.0,129.0,39.0,15.0,1683.0,1080.0,2922.0,2018
278,-36.871195,174.7439365,Henderson Lincoln East,66.0,132.0,18.0,12.0,6.0,9.0,15.0,9.0,12.0,3.0,18.0,6.0,3.0,0.0,9.0,138.0,0.0,6.0,6.0,15.0,3.0,0.0,0.0,3.0,3.0,9.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,84.0,15.0,12.0,42.0,0.0,6.0,15.0,24.0,78.0,,,,,,90.0,42.0,252.0,2018
280,-36.8238015,174.806976,Birkenhead West,894.0,2136.0,837.0,339.0,279.0,282.0,360.0,246.0,144.0,237.0,819.0,366.0,234.0,57.0,282.0,4653.0,3.0,321.0,36.0,552.0,18.0,9.0,18.0,39.0,60.0,177.0,9.0,75.0,93.0,57.0,12.0,24.0,3.0,18.0,48.0,2466.0,3516.0,339.0,156.0,933.0,117.0,57.0,267.0,921.0,2649.0,99.0,204.0,201.0,48.0,6.0,1920.0,2466.0,4674.0,2018
282,-36.8973564,174.695509220262,Te Atatu Peninsula East,564.0,1374.0,471.0,345.0,204.0,183.0,273.0,159.0,99.0,123.0,399.0,144.0,105.0,18.0,195.0,2931.0,9.0,162.0,30.0,366.0,42.0,3.0,24.0,30.0,24.0,102.0,15.0,99.0,129.0,87.0,6.0,6.0,6.0,12.0,15.0,1350.0,1761.0,393.0,291.0,858.0,66.0,33.0,186.0,420.0,1761.0,108.0,111.0,117.0,36.0,6.0,1434.0,1350.0,2964.0,2018
284,-36.8475067,174.757658302923,Milford West,522.0,1407.0,600.0,246.0,186.0,204.0,246.0,141.0,99.0,129.0,567.0,195.0,165.0,33.0,234.0,3072.0,3.0,228.0,33.0,360.0,18.0,3.0,9.0,21.0,51.0,117.0,3.0,51.0,39.0,42.0,18.0,12.0,18.0,9.0,18.0,1575.0,2007.0,144.0,39.0,945.0,84.0,24.0,150.0,510.0,1908.0,75.0,153.0,117.0,27.0,3.0,1314.0,1575.0,3030.0,2018
286,-36.8786501,174.6722379,Westlake,573.0,1332.0,627.0,246.0,195.0,162.0,231.0,111.0,96.0,108.0,552.0,174.0,162.0,12.0,282.0,2994.0,6.0,186.0,42.0,462.0,33.0,3.0,12.0,36.0,33.0,141.0,3.0,69.0,69.0,48.0,9.0,6.0,0.0,9.0,9.0,1371.0,1662.0,99.0,63.0,1242.0,72.0,33.0,144.0,441.0,1896.0,69.0,153.0,114.0,33.0,3.0,1452.0,1371.0,3039.0,2018
288,-36.8178641,174.710109,Hillcrest North (Auckland),798.0,1605.0,438.0,276.0,174.0,195.0,264.0,156.0,117.0,129.0,636.0,165.0,147.0,21.0,327.0,3387.0,3.0,126.0,30.0,402.0,30.0,18.0,24.0,48.0,48.0,162.0,9.0,102.0,117.0,66.0,3.0,15.0,15.0,12.0,18.0,1674.0,1533.0,219.0,105.0,1662.0,72.0,42.0,195.0,414.0,2223.0,105.0,141.0,105.0,42.0,6.0,1566.0,1674.0,3399.0,2018
290,-36.7075435,174.7262795,Henderson Lincoln South,576.0,1242.0,342.0,378.0,141.0,120.0,204.0,126.0,93.0,81.0,312.0,72.0,63.0,3.0,216.0,2550.0,24.0,69.0,30.0,423.0,42.0,15.0,66.0,45.0,84.0,93.0,27.0,75.0,168.0,48.0,0.0,18.0,12.0,0.0,15.0,891.0,951.0,390.0,435.0,1053.0,78.0,24.0,255.0,285.0,1479.0,75.0,96.0,81.0,30.0,15.0,1515.0,891.0,2727.0,2018
292,-36.8209613,174.5504354,Hillcrest West (Auckland),711.0,1560.0,360.0,249.0,168.0,177.0,279.0,153.0,114.0,117.0,594.0,225.0,135.0,36.0,231.0,3240.0,0.0,153.0,54.0,363.0,21.0,0.0,21.0,24.0,39.0,111.0,6.0,75.0,78.0,27.0,6.0,12.0,6.0,12.0,24.0,1731.0,2040.0,201.0,87.0,1080.0,63.0,33.0,207.0,471.0,1944.0,93.0,132.0,168.0,33.0,6.0,1326.0,1731.0,3243.0,2018
294,-36.7692576,174.4920607,Milford Central,273.0,840.0,603.0,162.0,174.0,162.0,135.0,75.0,81.0,105.0,384.0,135.0,96.0,27.0,114.0,1947.0,0.0,240.0,24.0,237.0,15.0,0.0,3.0,18.0,21.0,105.0,3.0,24.0,9.0,24.0,9.0,3.0,3.0,6.0,9.0,960.0,1629.0,63.0,21.0,276.0,51.0,12.0,72.0,372.0,1287.0,63.0,57.0,66.0,18.0,3.0,879.0,960.0,1935.0,2018
296,-36.4647265,174.4469747,Summerland South,669.0,1485.0,450.0,387.0,219.0,180.0,294.0,168.0,93.0,132.0,486.0,132.0,117.0,21.0,237.0,3213.0,3.0,114.0,21.0,450.0,36.0,21.0,15.0,33.0,78.0,132.0,6.0,66.0,321.0,144.0,3.0,18.0,45.0,9.0,30.0,1251.0,1479.0,246.0,291.0,1416.0,108.0,39.0,183.0,414.0,1992.0,147.0,150.0,150.0,27.0,9.0,1770.0,1251.0,3219.0,2018
298,-36.2957426,174.523259,Summerland North,507.0,1251.0,354.0,285.0,198.0,144.0,204.0,126.0,81.0,93.0,387.0,126.0,84.0,21.0,243.0,2580.0,12.0,114.0,27.0,348.0,51.0,12.0,15.0,18.0,72.0,105.0,15.0,54.0,207.0,93.0,6.0,3.0,12.0,0.0,15.0,1014.0,1167.0,162.0,162.0,1200.0,72.0,39.0,132.0,366.0,1572.0,111.0,120.0,120.0,33.0,6.0,1431.0,1014.0,2616.0,2018
300,-36.3555588,174.3331892,Hillcrest East (Auckland),912.0,1833.0,492.0,279.0,204.0,213.0,372.0,177.0,141.0,186.0,747.0,222.0,174.0,21.0,291.0,3921.0,6.0,174.0,84.0,375.0,30.0,12.0,39.0,51.0,81.0,114.0,3.0,90.0,81.0,60.0,3.0,21.0,18.0,12.0,30.0,2064.0,2226.0,285.0,141.0,1476.0,99.0,54.0,234.0,555.0,2382.0,129.0,162.0,189.0,45.0,9.0,1650.0,2064.0,3987.0,2018
302,-36.485505794269145,174.7253746530711,Chatswood,717.0,1674.0,564.0,240.0,210.0,180.0,294.0,141.0,108.0,129.0,690.0,240.0,222.0,39.0,291.0,3531.0,3.0,189.0,60.0,336.0,24.0,6.0,3.0,27.0,45.0,105.0,0.0,60.0,87.0,33.0,9.0,9.0,0.0,12.0,33.0,1926.0,2109.0,165.0,63.0,1302.0,84.0,54.0,180.0,456.0,2271.0,138.0,162.0,168.0,39.0,9.0,1383.0,1926.0,3579.0,2018
304,-36.54477735867852,174.70703241057635,Te Atatu South-Edmonton,801.0,1767.0,366.0,498.0,279.0,249.0,306.0,246.0,132.0,126.0,435.0,114.0,114.0,18.0,228.0,3756.0,18.0,132.0,39.0,402.0,45.0,33.0,93.0,114.0,81.0,162.0,30.0,81.0,165.0,63.0,12.0,18.0,9.0,12.0,21.0,1659.0,1932.0,666.0,801.0,1044.0,87.0,27.0,405.0,552.0,1986.0,90.0,150.0,147.0,33.0,15.0,1857.0,1659.0,3741.0,2018
306,-36.58463822573991,174.68494831921734,Birkenhead North,636.0,1383.0,417.0,249.0,144.0,153.0,213.0,126.0,114.0,114.0,570.0,195.0,141.0,42.0,210.0,2865.0,3.0,150.0,12.0,390.0,30.0,9.0,12.0,24.0,33.0,87.0,12.0,78.0,75.0,60.0,9.0,12.0,12.0,15.0,6.0,1422.0,1839.0,174.0,81.0,894.0,96.0,36.0,195.0,459.0,1746.0,69.0,132.0,99.0,27.0,3.0,1254.0,1422.0,2895.0,2018
308,-36.612951032198986,174.67336479422875,Takapuna West,990.0,2229.0,1179.0,354.0,279.0,252.0,330.0,180.0,141.0,195.0,894.0,297.0,285.0,45.0,327.0,4509.0,3.0,339.0,39.0,675.0,39.0,6.0,84.0,42.0,39.0,207.0,6.0,75.0,93.0,75.0,12.0,15.0,12.0,15.0,21.0,2046.0,2841.0,189.0,99.0,1425.0,198.0,39.0,204.0,738.0,2889.0,87.0,171.0,168.0,24.0,3.0,2241.0,2046.0,5175.0,2018
310,-36.66664139116747,174.6077417955442,Henderson North,822.0,1785.0,444.0,525.0,273.0,213.0,345.0,201.0,126.0,117.0,444.0,114.0,108.0,12.0,297.0,3771.0,24.0,144.0,42.0,570.0,69.0,9.0,57.0,75.0,99.0,174.0,39.0,69.0,150.0,78.0,0.0,21.0,15.0,9.0,30.0,1473.0,1629.0,531.0,732.0,1305.0,108.0,45.0,426.0,519.0,2094.0,108.0,129.0,123.0,39.0,12.0,2067.0,1473.0,3783.0,2018
312,-36.80373887466924,174.52244784706042,Takapuna Central,444.0,1215.0,816.0,162.0,204.0,177.0,210.0,123.0,84.0,135.0,462.0,177.0,147.0,39.0,129.0,2370.0,3.0,285.0,33.0,324.0,9.0,3.0,27.0,27.0,18.0,132.0,0.0,15.0,15.0,12.0,18.0,3.0,0.0,6.0,18.0,1125.0,1962.0,96.0,27.0,327.0,81.0,18.0,99.0,468.0,1605.0,78.0,57.0,51.0,15.0,0.0,1113.0,1125.0,2703.0,2018
314,-36.63008543690631,174.74032867899865,Western Heights (Auckland),1017.0,2130.0,453.0,489.0,315.0,288.0,411.0,270.0,153.0,180.0,594.0,165.0,144.0,21.0,348.0,4479.0,27.0,153.0,42.0,480.0,78.0,24.0,63.0,75.0,117.0,117.0,18.0,87.0,315.0,165.0,6.0,24.0,30.0,12.0,36.0,1875.0,2166.0,477.0,486.0,1785.0,114.0,69.0,327.0,603.0,2667.0,210.0,192.0,186.0,57.0,18.0,2313.0,1875.0,4479.0,2018
